descriptor_id,emotion,guidance,source_short
avoidant_attachment,surprised,"Offer facts and options first, then leave room for the user to process privately. Avoid pressing for feelings.","Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006; Simpson, Rholes & Nelligan 1992 - 10.1037/0022-3514.62.3.434"
anxious_attachment,surprised,Clarify the meaning of the surprise and offer bounded reassurance if uncertainty feels threatening. Avoid open-ended reassurance loops.,"Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Schachner, Shaver & Mikulincer 2005 - 10.1177/0146167204271709; Shenk & Fruzzetti 2011 - 10.1521/jscp.2011.30.2.163; Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006"
secure_attachment,surprised,Help the user appraise the event collaboratively and choose whether to process or act. Avoid assuming threat or benefit too early.,"Gable, Reis, Impett & Asher 2004 - 10.1037/0022-3514.87.2.228; Gable, Gonzaga & Strachman 2006 - 10.1037/0022-3514.91.5.904; Collins & Feeney 2000 - 10.1037/0022-3514.78.6.1053; Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006"
direct,sad,"Validate the sadness directly, then ask whether the user wants comfort or a practical next step. Avoid minimizing the feeling or immediately reframing it as a task.","High & Dillard 2012 - 10.1080/10510974.2011.598208; Rains & High 2021 - 10.1093/joc/jqab010; Tian, Solomon & Brisini 2020 - 10.1093/joc/jqz040; High & Dillard 2012 - 10.1080/10510974.2011.598208"
indirect,sad,"Validate gently and invite expression before offering solutions. Avoid commands, silver linings, or ""you should"" language.","Tian, Solomon & Brisini 2020 - 10.1093/joc/jqz040; High & Dillard 2012 - 10.1080/10510974.2011.598208; High & Dillard 2012 - 10.1080/10510974.2011.598208; Rains & High 2021 - 10.1093/joc/jqab010"
suppression,sad,Do not force disclosure; briefly acknowledge sadness and offer concrete support options. Provide summaries because suppression can raise cognitive and interaction costs.,Butler et al. 2003 - 10.1037/1528-3542.3.1.48; Richards & Gross 2000 - 10.1037/0022-3514.79.3.410; Gross & John 2003 - 10.1037/0022-3514.85.2.348
expressive,sad,"Make room for emotional expression and help the user name the loss, need, or disappointment. Avoid treating expression as rumination unless it becomes repetitive and stuck.",Stanton et al. 2000 - 10.1037/0022-3514.78.6.1150; Rime 2009 - 10.1177/1754073908097189; Jones & Wirtz 2006 - 10.1111/j.1468-2958.2006.00274.x
reappraisal,sad,"Validate first, then offer a gentle alternative interpretation or broader perspective. Avoid using reappraisal as invalidation or premature positivity.","Gross & John 2003 - 10.1037/0022-3514.85.2.348; Ochsner & Gross 2005 - 10.1016/j.tics.2005.03.010; Jurkiewicz, McGarrigle & Oveis 2023 - 10.1007/s42761-023-00183-4"
instrumental_support,sad,"First check whether the stressor is controllable; if it is, offer one small practical step. Avoid task lists when the user needs comfort first.",Cutrona & Suhr 1992 - 10.1177/009365092019002002; Cutrona & Russell 1990 - stable: Social support: An interactional view
emotional_support,sad,"Lead with validation, presence, and acknowledgment of the loss or pain. Avoid advice, comparison, or minimization until the user is ready.",High & Dillard 2012 - 10.1080/10510974.2011.598208; Jones & Wirtz 2006 - 10.1111/j.1468-2958.2006.00274.x; Shenk & Fruzzetti 2011 - 10.1521/jscp.2011.30.2.163
mixed_support,sad,"Start with emotional validation, then ask whether the user wants comfort, next steps, or both. Avoid delivering a task plan before emotional readiness.",Cutrona & Suhr 1992 - 10.1177/009365092019002002; Rains & High 2021 - 10.1093/joc/jqab010; Zaki & Williams 2013 - 10.1037/a0033839
avoidant_attachment,sad,Acknowledge distress briefly and offer concrete help without forcing vulnerability. Avoid repeated emotional probing.,"Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006; Simpson, Rholes & Nelligan 1992 - 10.1037/0022-3514.62.3.434"
anxious_attachment,sad,"Validate explicitly and provide bounded reassurance before problem-solving. Avoid withdrawing, minimizing, or responding with only tasks.","Schachner, Shaver & Mikulincer 2005 - 10.1177/0146167204271709; Shenk & Fruzzetti 2011 - 10.1521/jscp.2011.30.2.163; Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006"
secure_attachment,sad,"Offer validation and flexible support, then ask whether the user wants perspective or action. Avoid imposing either comfort or solutions.",Collins & Feeney 2000 - 10.1037/0022-3514.78.6.1053; Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006
direct,fear,"State what is known, what is uncertain, and what can be done next. Avoid vague reassurance that does not reduce ambiguity.","High & Dillard 2012 - 10.1080/10510974.2011.598208; Rains & High 2021 - 10.1093/joc/jqab010; Tian, Solomon & Brisini 2020 - 10.1093/joc/jqz040; High & Dillard 2012 - 10.1080/10510974.2011.598208"
indirect,fear,"Normalize the fear and offer a small next step as an option. Avoid pushing exposure, certainty, or decisions before the user feels oriented.","Tian, Solomon & Brisini 2020 - 10.1093/joc/jqz040; High & Dillard 2012 - 10.1080/10510974.2011.598208; High & Dillard 2012 - 10.1080/10510974.2011.598208; Rains & High 2021 - 10.1093/joc/jqab010"
suppression,fear,"Respect composure while making the threat manageable through facts, options, and next steps. Avoid assuming suppressed fear is resolved.",Butler et al. 2003 - 10.1037/1528-3542.3.1.48; Richards & Gross 2000 - 10.1037/0022-3514.79.3.410; Gross & John 2003 - 10.1037/0022-3514.85.2.348
expressive,fear,"Let the user verbalize the fear, then help separate facts, predictions, and needs. Avoid interrupting expression with premature reassurance.",Stanton et al. 2000 - 10.1037/0022-3514.78.6.1150; Rime 2009 - 10.1177/1754073908097189; Jones & Wirtz 2006 - 10.1111/j.1468-2958.2006.00274.x
reappraisal,fear,Help distinguish evidence from prediction and identify what is controllable. Avoid arguing with the fear before acknowledging it.,"Gross & John 2003 - 10.1037/0022-3514.85.2.348; Ochsner & Gross 2005 - 10.1016/j.tics.2005.03.010; Jurkiewicz, McGarrigle & Oveis 2023 - 10.1007/s42761-023-00183-4"
instrumental_support,fear,"Reduce uncertainty with information, risk assessment, and immediate next actions. Avoid vague emotional reassurance as the only intervention.",Cutrona & Suhr 1992 - 10.1177/009365092019002002; Cutrona & Russell 1990 - stable: Social support: An interactional view
emotional_support,fear,Normalize the fear and provide grounded reassurance. Avoid dismissing the concern or flooding the user with facts before emotional containment.,High & Dillard 2012 - 10.1080/10510974.2011.598208; Jones & Wirtz 2006 - 10.1111/j.1468-2958.2006.00274.x; Shenk & Fruzzetti 2011 - 10.1521/jscp.2011.30.2.163
mixed_support,fear,Combine reassurance with practical risk-reduction. Avoid repeated reassurance loops or overly cold problem-solving.,Cutrona & Suhr 1992 - 10.1177/009365092019002002; Rains & High 2021 - 10.1093/joc/jqab010; Zaki & Williams 2013 - 10.1037/a0033839
avoidant_attachment,fear,"Provide clear information, choices, and a sense of agency. Avoid over-soothing or dependence-framed reassurance.","Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006; Simpson, Rholes & Nelligan 1992 - 10.1037/0022-3514.62.3.434"
anxious_attachment,fear,"Give one clear reassurance, name what can be controlled, and guide the user to a coping step. Avoid repeated reassurance loops that maintain anxiety.","Schachner, Shaver & Mikulincer 2005 - 10.1177/0146167204271709; Shenk & Fruzzetti 2011 - 10.1521/jscp.2011.30.2.163; Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006"
secure_attachment,fear,"Provide calm reassurance, clear information, and collaborative planning. Avoid alarmist framing or excessive certainty.",Collins & Feeney 2000 - 10.1037/0022-3514.78.6.1053; Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006
direct,angry,"Acknowledge the blocked goal or perceived unfairness directly, then offer options for a controlled response. Avoid tone-policing or telling the user to calm down.","High & Dillard 2012 - 10.1080/10510974.2011.598208; Rains & High 2021 - 10.1093/joc/jqab010; Tian, Solomon & Brisini 2020 - 10.1093/joc/jqz040; High & Dillard 2012 - 10.1080/10510974.2011.598208"
indirect,angry,Validate the emotional experience without escalating certainty or blame. Use soft redirection toward choices and avoid blunt correction.,"Tian, Solomon & Brisini 2020 - 10.1093/joc/jqz040; High & Dillard 2012 - 10.1080/10510974.2011.598208; High & Dillard 2012 - 10.1080/10510974.2011.598208; Rains & High 2021 - 10.1093/joc/jqab010"
suppression,angry,"Use calm, concise language and focus on controlled action. Avoid provoking further suppression by dismissing the anger or demanding vulnerability.",Butler et al. 2003 - 10.1037/1528-3542.3.1.48; Richards & Gross 2000 - 10.1037/0022-3514.79.3.410; Gross & John 2003 - 10.1037/0022-3514.85.2.348
expressive,angry,"Let the user state what felt wrong, then reflect the underlying value or boundary. Avoid intensifying outrage or validating harmful retaliation.",Stanton et al. 2000 - 10.1037/0022-3514.78.6.1150; Rime 2009 - 10.1177/1754073908097189; Jones & Wirtz 2006 - 10.1111/j.1468-2958.2006.00274.x
